Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
INNATE IMMUNITY AND INFLAMMATION STUDY SECTION,III,03/10/22 -,"AACHOUI, YOUSSEF,  DSC*",ASSISTANT PROFESSOR,DEPARTMENT OF MICROBIOLOGY AND IMMUNOLOGY,COLLEGE OF MEDICINE,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,"LITTLE ROCK, AR, 72205",,
PATHOPHYSIOLOGY OF EYE DISEASE - 2 STUDY SECTION,PED2,03/17/22 -,"AAKALU, VINAY,  MD*",ASSOCIATE PROFESSOR,DEPARTMENT OF OPHTHALMOLOGY OCULOPLASTIC AND,RECONSTRUCTIVE SURGERY SERVICE,UNIVERSITY OF ILLINOIS COLLEGE OF MEDICINE,"CHICAGO, IL, 60612",,
RADIATION THERAPEUTICS AND BIOLOGY STUDY SECTION,RTB,06/27/22 -,"ABAZEED, MOHAMED E,  MD,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF RADIATION ONCOLOGY,FEINBERG SCHOOL OF MEDICINE,NORTHWESTERN UNIVERSITY,"CHICAGO, IL, 60611",,
RADIATION THERAPEUTICS AND BIOLOGY STUDY SECTION,RTB,02/14/22 -,"ABAZEED, MOHAMED E,  MD,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF RADIATION ONCOLOGY,FEINBERG SCHOOL OF MEDICINE,NORTHWESTERN UNIVERSITY,"CHICAGO, IL, 60611",,
RADIATION THERAPEUTICS AND BIOLOGY STUDY SECTION,RTB,10/18/21 -,"ABAZEED, MOHAMED E,  MD,  PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF RADIATION ONCOLOGY,FEINBERG SCHOOL OF MEDICINE,NORTHWESTERN UNIVERSITY,"CHICAGO, IL, 60611",,
IMAGING TECHNOLOGY DEVELOPMENT STUDY SECTION,ITD,10/28/21 -,"ABBASZADEH, SHIVA,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING,BASKIN SCHOOL OF ENGINEERING,"SANTA CRUZ, CA, 95060",,,
IMAGING TECHNOLOGY DEVELOPMENT STUDY SECTION,ITD,06/02/22 -,"ABBASZADEH, SHIVA,  PHD*",ASSISTANT PROFESSOR,DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING,UNIVERSITY OF CALIFORNIA AT SANTA CRUZ,"SANTA CRUZ, CA, 95060",,,
EMERGING IMAGING TECHNOLOGIES AND APPLICATIONS STUDY SECTION,EITA,02/24/22 -,"ABBEY, CRAIG K,  PHD",PROFESSOR,DEPARTMENT OF PSYCHOLOGICAL AND BRAIN SCIENCES,UNIVERSITY OF CALIFORNIA SANTA BARBARA,"SANTA BARBARA, CA, 93106",,,
EMERGING IMAGING TECHNOLOGIES AND APPLICATIONS STUDY SECTION,EITA,10/21/21 -,"ABBEY, CRAIG K,  PHD",PROFESSOR,DEPARTMENT OF PSYCHOLOGICAL AND BRAIN SCIENCES,UNIVERSITY OF CALIFORNIA SANTA BARBARA,"SANTA BARBARA, CA, 93106",,,
"BIOENGINEERING, TECHNOLOGY AND SURGICAL SCIENCES STUDY SECTION",BTSS,10/11/22 -,"ABBOTT, JAKE,  PHD",PROFESSOR,DEPARTMENT OF MECHANICAL ENGINEERING,UNIVERSITY OF UTAH,"SALT LAKE CITY, UT, 84112",,,
"BIOENGINEERING, TECHNOLOGY AND SURGICAL SCIENCES STUDY SECTION",BTSS,02/14/22 -,"ABBOTT, JAKE,  PHD",PROFESSOR,DEPARTMENT OF MECHANICAL ENGINEERING,UNIVERSITY OF UTAH,"SALT LAKE CITY, UT, 84112",,,
BRAIN INJURY AND NEUROVASCULAR PATHOLOGIES STUDY SECTION,BINP,02/17/22 -,"ABBRUSCATO, THOMAS J,  PHD*",PROFESSOR AND CHAIR,DEPARTMENT OF PHARMACEUTICAL SCIENCES,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,"AMARILLO, TX, 79106",,,
