Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
BACTERIAL VIRULENCE STUDY SECTION ,BV,10/17/23,"AACHOUI, YOUSSEF, DSC",ASSISTANT PROFESSOR,DEPARTMENT OF MICROBIOLOGY AND IMMUNOLOGY,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,"LITTLE ROCK,       AR,       72223",,,
"BIOENGINEERING, TECHNOLOGY AND SURGICAL SCIENCES STUDY SECTION",BTSS,02/12/24,"AARABI, SHAHRAM, MD",ASSISTANT PROFESSOR,DEPARTMENT OF SURGERY,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,"OAKLAND,       CA,       94602",,,
TRANSLATIONAL IMMUNO-ONCOLOGY STUDY SECTION,TIO,03/04/24,"ABATE DAGA, DANIEL, PHD",ASSOCIATE MEMBER,"DEPARTMENT OF IMMUNOLOGY, CUTANEOUS ONCOLOGY,",AND GASTROINTESTINAL ONCOLOGY,MOFFITT CANCER CENTER,"TAMPA,       FL,       33612",,
TRANSLATIONAL IMMUNO-ONCOLOGY STUDY SECTION,TIO,10/19/23,"ABATE DAGA, DANIEL, PHD",ASSOCIATE MEMBER,"DEPARTMENT OF IMMUNOLOGY, CUTANEOUS ONCOLOGY,",AND GASTROINTESTINAL ONCOLOGY,MOFFITT CANCER CENTER,"TAMPA,       FL,       33612",,
HIV COINFECTIONS AND HIV ASSOCIATED CANCERS STUDY SECTION,HCAC,11/08/23,"ABATE, GETAHUN, MD, PHD",ASSOCIATE PROFESSOR,DIVISION OF INFECTIOUS DISEASES,DEPARTMENT OF INTERNAL MEDICINE,SAINT LOUIS UNIVERSITY SCHOOL OF MEDICINE,"ST. LOUIS,       MO,       63104",,
CANCER CELL BIOLOGY STUDY SECTION,CCB,10/05/23,"ABATE-SHEN, CORY, PHD",PROFESSOR AND CHAIR,DEPARTMENT OF PHARMACOLOGY,COLUMBIA UNIVERSITY,"NEW YORK,       NY,       10032",,,
RADIATION THERAPEUTICS AND BIOLOGY STUDY SECTION,RTB,06/17/24,"ABAZEED, MOHAMED  E., MD, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF RADIATION ONCOLOGY,FEINBERG SCHOOL OF MEDICINE,NORTHWESTERN UNIVERSITY,"CHICAGO,       IL,       60611",,
RADIATION THERAPEUTICS AND BIOLOGY STUDY SECTION,RTB,02/26/24,"ABAZEED, MOHAMED  E., MD, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF RADIATION ONCOLOGY,FEINBERG SCHOOL OF MEDICINE,NORTHWESTERN UNIVERSITY,"CHICAGO,       IL,       60611",,
RADIATION THERAPEUTICS AND BIOLOGY STUDY SECTION,RTB,10/23/23,"ABAZEED, MOHAMED  E., MD, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF RADIATION ONCOLOGY,FEINBERG SCHOOL OF MEDICINE,NORTHWESTERN UNIVERSITY,"CHICAGO,       IL,       60611",,
PATHOPHYSIOLOGICAL BASIS OF MENTAL DISORDERS AND ADDICTIONS STUDY SECTION,PMDA,02/07/24,"ABBAS, ATHEIR  IBRAHIM, MD, PHD",ASSISTANT PROFESSOR,DEPARTMENT OF BEHAVIORAL NEUROSCIENCE,OREGON HEALTH AND SCIENCE UNIVERSITY,"PORTLAND,       OR,       97239",,,
