Section Name,Section Abbreviation,Date,Name,Position,Ad1,Ad2,Ad3,Ad4,Ad5,Ad6
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"YUAN, CHUN, PHD",PROFESSOR,DEPARTMENT OF RADIOLOGY AND IMAGING SCIENCES,SPENCER FOX ECCLES SCHOOL OF MEDICINE,UNIVERSITY OF UTAH,"SALT LAKE CITY, UT, 84132",,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"APPAVU, BRIAN LEONARD, MD*",ASSISTANT PROFESSOR,DEPARTMENT OF NEUROLOGY,PHOENIX CHILDREN'S HOSPITAL,"PHOENIX, AZ, 85016",,,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"BUCKLEY, ERIN MCGUIRE, PHD*",ASSISTANT PROFESSOR,WALLACE H. COULTER DEPARTMENT OF BIOMEDICAL AT,GEORGIA TECH AND EMORY,DEPARTMENT OF PEDIATRICS,EMORY UNIVERSITY,"ATLANTA, GA, 30322",
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"BUDDE, MATTHEW D, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF NEUROSURGERY,MEDICAL COLLEGE OF WISCONSIN,"MILWAUKEE, WI, 53226",,,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"BUSHNELL, CHERYL D, MD",PROFESSOR,DEPARTMENT OF NEUROLOGY,WAKE FOREST SCHOOL OF MEDICINE,"WINSTON SALEM, NC, 27157",,,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"CUEVAS, JAVIER, PHD",PROFESSOR,DEPARTMENT OF MOLECULAR PHARMACOLOGY AND,PHYSIOLOGY,COLLEGE OF MEDICINE,UNIVERSITY OF SOUTH FLORIDA,"TAMPA, FL, 33612",
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"DANZER, STEVE C, PHD*",PROFESSOR,DEPARTMENT OF ANESTHESIA,CINCINNATI'S CHILDREN'S HOSPITAL,"CINCINNATI, OH, 45229",,,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"GENSEL, JOHN C, PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF PHYSIOLOGY,COLLEGE OF MEDICNE,UNIVERSITY OF KENTUCKY,"LEXINGTON, KY, 40536",,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"GUILLIAMS, KRISTIN, MD*",ASSOCIATE PROFESSOR,"DEPARTMENTS OF NEUROLOGY, PEDIATRICS, AND",RADIOLOGY,SCHOOL OF MEDICINE,WASHINGTON UNIVERSITY ,"ST. LOUIS, MO, 63110",
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"HAREZLAK, JAROSLAW, PHD*",PROFESSOR,DEPARTMENT OF EPIDEMIOLOGY AND BIOSTATISTICS,SCHOOL OF PUBLIC HEALTH,INDIANA UNIVERSITY,"BLOOMINGTON, IN, 47405",,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"HEINZEN COX, ERIN L, PHD*",ASSOCIATE PROFESSOR,DEPARTMENT OF PHARMACY AND GENETICS,ESHELMAN SCHOOL OF PHARMACY,UNIVERSITY OF NORTH CAROLINA,"CHAPEL HILL, NC, 27599",,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"HUBER, JASON D, PHD*",PROFESSOR,DEPARTMENT OF BASIC PHARMACEUTICAL SCIENCES,WEST VIRGINIA UNIVERSITY,"MORGANTOWN, WV, 26506",,,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"HUTTNER, ANITA JULIANE*",ASSOCIATE PROFESSOR,DEPARTMENT OF PATHOLOGY,YALE UNIVERSITY,"NEW HAVEN, CT, 06520",,,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"JIN, KUNLIN, MD, PHD*",PROFESSOR,DEPARTMENT OF PHARMACOLOGY AND NEUOSCIENCE,UNIVERSITY OF NORTH TEXAS,HEALTH SCIENCE CENTER,"FORT WORTH, TX, 76107",,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"KELLY, KEVIN M, MD, PHD*",PROFESSOR,DEPARTMENT OF NEUROLOGY,DREXEL UNIVERSITY COLLEGE OF MEDICINE,ALLEGHENY-SINGER RESEARCH INSTITUTE,"PITTSBURGH, PA, 15212",,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"KONTOS, ANTHONY P, PHD*",PROFESSOR,DEPARTMENT OF ORTHOPAEDIC SURGERY,UNIVERSITY OF PITTSBURGH,"PITTSBURGH, PA, 15203",,,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"LAPLACA, MICHELLE C, PHD",ASSOCIATE PROFESSOR,DEPARTMENT OF BIOMEDICAL ENGINEERING,GEORGIA INSTITUTE OF TECHNOLOGY,"ATLANTA, GA, 30332",,,
ACUTE NEURAL INJURY AND EPILEPSY STUDY SECTION,ANIE,02/24/22 - 02/25/22,"LIPTON, MICHAEL LAWRENCE, MD, PHD*",PROFESSOR,"DEPARTMENT OF RADIOLOGY, PSYCHIATRY, AND",BEHAVIORAL SCIENCES,ALBERT EINSTEIN COLLEGE OF MEDICINE,MONTEFIORE MEDICAL CENTER,"BRONX, NY, 10467",
